population,infection_rate,recovery_rate,initial_infected,steps,peak_infected
186,0.5025421032449021,0.42496243792180755,17,180,105
227,0.43211985803603786,0.39709723599493885,13,54,112
299,0.09814617038579126,0.3307264349566845,11,51,61
222,0.7707200040860339,0.16499963820897562,9,132,185
88,0.4470122476727433,0.17711400298752966,20,124,61
151,0.5349658121654329,0.15873088089029927,9,88,109
118,0.2633010351641388,0.09166911709430751,12,51,71
287,0.8259599039101626,0.3634075996840663,8,189,233
174,0.21786164013214931,0.0695783707699821,16,90,117
271,0.6397729548574491,0.05899773532982716,4,159,244
209,0.8166562769793916,0.21987407367673295,6,77,180
165,0.18721345515867893,0.3368010689864392,19,101,53
222,0.8293801882659423,0.08428391687506702,6,121,203
255,0.7776632937772786,0.20930310104851338,2,183,199
141,0.46098873029312654,0.08665530010878482,13,90,108
87,0.5524795413844661,0.38324004409334567,10,199,51
86,0.26564145909525444,0.05167680077549406,9,110,66
233,0.6454113230466555,0.13884765261538726,19,59,189
196,0.423393193398451,0.04517562131790543,14,69,159
58,0.8787271685942704,0.37636776979318337,18,106,47
129,0.40356524482645273,0.13437230280260132,5,158,88
228,0.8311177717489936,0.3545681119202785,16,117,181
112,0.0795243724312814,0.2550333058403942,6,184,26
186,0.3007160076546484,0.056474978890843464,4,92,138
175,0.7243566372019198,0.28472983050309925,17,97,131
215,0.3804851278141876,0.44505515747592833,7,66,99
229,0.3736009397589465,0.2839507557664967,7,157,111
178,0.8019123790842256,0.3828462860008851,9,51,148
102,0.829957250121682,0.20011144352195068,14,72,85
148,0.1977488337161904,0.09890383950755317,8,60,76
249,0.5471982643519603,0.42619498864853556,6,175,143
102,0.08105822029405749,0.2934163821357986,14,54,22
166,0.35846520990449804,0.41757306066139543,16,174,74
186,0.37583998826627374,0.15386667753770852,16,150,108
192,0.10559359451332562,0.014737147616180446,16,92,141
274,0.7969592978548194,0.47894789675128707,9,118,222
222,0.6192339013013922,0.044757013718439306,4,152,201
210,0.7878328918125709,0.17416061806094799,19,163,173
140,0.7749615998143208,0.22883269464825587,15,151,109
277,0.2572386614269354,0.314342577735127,1,119,112
62,0.8980933085164371,0.218148654334751,6,171,51
97,0.42054086577388256,0.11120680547798223,11,101,73
291,0.3050812786300216,0.20687148103678019,13,169,159
220,0.8418664973058122,0.08595456469592033,11,76,199
279,0.8593533811481181,0.12377128926523205,4,103,243
65,0.5532243171483762,0.11171967916141269,15,116,51
147,0.19498947259702676,0.03456815022314747,5,125,106
56,0.4696260374795381,0.13854107041788452,14,124,39
76,0.28847367003639135,0.154459594907825,12,174,47
129,0.5646856864472763,0.22113115772952951,13,189,85
287,0.385744222835983,0.07235701394475337,1,59,215
211,0.30570565844577946,0.3386330123671441,9,151,86
74,0.309925154203748,0.01624916955920729,15,195,62
221,0.3792025720160295,0.0999675014642204,15,185,153
51,0.24540149863588306,0.031842011185404084,5,103,41
300,0.16779841102814952,0.053903089135274286,20,63,196
284,0.3178974331794272,0.369659044153013,19,80,118
265,0.7305457385167509,0.18485585834326518,14,88,198
150,0.6708803274984337,0.18899651542521512,16,156,113
104,0.7382500982255427,0.4881455232643916,15,162,68
78,0.22590509228064604,0.4318426610051446,5,194,24
80,0.18064231148423027,0.12010528750069403,17,97,40
166,0.8539206733213849,0.057414769273808786,18,112,153
69,0.25405606843623213,0.3051514521713953,8,163,33
70,0.8566485393076815,0.23688050365450738,5,62,58
262,0.13626925807942472,0.2984824168600379,8,150,71
199,0.31842257736302026,0.01720414380930296,19,116,167
117,0.07144716485343108,0.3818563366096151,1,146,15
209,0.20361006262440906,0.32675561090405936,11,76,69
172,0.8484981681496915,0.490244226913635,20,140,143
214,0.4307807938652476,0.0443133352300899,11,156,175
213,0.6792589890379708,0.26062497174613347,3,54,149
269,0.8781559635766626,0.14690582330045046,5,162,235
152,0.7873026549264109,0.01798515345154133,9,197,145
278,0.5980186147407548,0.48883687519781505,11,196,158
141,0.8659654116826127,0.4461752094492401,5,124,115
186,0.7626973212460718,0.3248184136651791,5,63,140
164,0.8073859126245486,0.05490847149581015,3,141,146
281,0.15466867343700058,0.07773230493703953,13,195,148
271,0.45782747187771516,0.04563272944818303,16,160,216
59,0.8003037471834954,0.28495232346200106,8,167,41
82,0.2389054749358786,0.43409406825755315,15,167,29
248,0.4287412392861184,0.0864148181505429,4,128,186
66,0.7862558424915714,0.021443132449236,20,194,63
145,0.7382331542706424,0.11993790666739874,19,128,115
209,0.338117225915314,0.10220165350935442,11,100,146
88,0.28074124600900063,0.39563442622182665,20,169,34
216,0.838160722080976,0.29313795902878426,3,62,170
160,0.6115433439586534,0.47017320590630973,8,118,96
187,0.6082412101762755,0.2970428041946043,20,199,124
108,0.5322866986406586,0.032342546637881796,12,118,97
195,0.8308824006558839,0.10693344822711268,19,125,168
144,0.5811480981134746,0.42225122401527665,14,135,87
68,0.7575083907258152,0.18781113410745273,2,131,52
241,0.2109510108233808,0.02350971278060355,20,134,192
84,0.8138435053289447,0.1777229320917104,2,76,74
99,0.6521835298558664,0.33696009522840265,3,77,67
198,0.25619970135239717,0.2864643416135811,12,111,92
126,0.741694265594197,0.32354509726762026,17,67,96
182,0.5198583719008858,0.3131831217188413,20,56,108
228,0.42339126425603596,0.49437388993318937,16,183,105
220,0.5876275823502807,0.49777133246043465,8,78,127
272,0.8781684471147911,0.07805693223770245,18,58,248
68,0.5448570393950637,0.12311067963178961,11,126,58
123,0.8812010773951326,0.4179170222600994,18,139,98
195,0.5492580537249543,0.24476344220665283,16,131,127
260,0.2946978869484869,0.09052382788077139,5,167,179
242,0.2787919414876806,0.30541844145825314,5,158,99
269,0.15452915256130403,0.18030203521502444,12,96,102
220,0.2423161616455436,0.4501851795827993,12,86,73
274,0.4822167979171496,0.36097083662735335,12,199,141
232,0.6023452591489808,0.3135495596742101,4,77,147
121,0.400503237157987,0.33376573310467383,4,132,65
269,0.7833607929651109,0.12411054586770134,9,93,232
107,0.34236540689577294,0.1081508316469302,20,200,75
173,0.6843634877574383,0.02976518848086223,19,76,155
189,0.7333095645896155,0.08790358177429598,19,99,165
96,0.4071473598897277,0.3583429066967467,12,194,45
268,0.5657269575866274,0.0230224966110675,2,93,248
123,0.8216695285082459,0.14415309413556265,8,61,104
180,0.40779627259780815,0.3802238175947276,6,69,73
148,0.862205412837843,0.3341254890240492,5,135,120
289,0.7403135843724464,0.02763725651441718,9,55,272
177,0.6150236113800315,0.4964407565734192,7,110,105
185,0.8449770235142856,0.3397737177075878,13,105,154
121,0.35708500539994875,0.040416093532529486,14,180,101
159,0.4898342754859368,0.31548810869224186,13,144,89
124,0.4872755867216391,0.4476606983602828,4,197,72
279,0.2540721122579711,0.06202070547753687,18,131,193
208,0.5676079549124888,0.42558341996927646,1,111,123
284,0.0779719307000488,0.390875548460077,4,55,46
263,0.48936562625285673,0.15047980108777603,6,83,175
155,0.32430659323565986,0.20195498988151314,6,157,83
252,0.6758586270316627,0.24807289030599378,11,64,189
300,0.3412727974946699,0.17023646974715625,7,133,187
162,0.5978233324591291,0.36575127727043333,15,124,100
100,0.16368106922284487,0.043562237244789935,20,189,65
94,0.12610576526649572,0.41627086617312725,16,181,20
157,0.6931451623037345,0.06948092328360402,7,77,138
219,0.4907269289291655,0.46025016565562554,1,72,110
237,0.47528592727396224,0.3544343911298823,6,69,137
282,0.5315739568754874,0.31497413353810655,13,70,180
79,0.6284144652067637,0.07400110992315244,14,55,73
266,0.34991140315415487,0.4151103198256319,19,57,120
224,0.15327478063411454,0.48376422259544644,5,130,57
273,0.11911237479540501,0.21213289775845318,1,138,77
59,0.7838869152209629,0.03969187991807585,11,100,56
72,0.8744412374564839,0.22081766236033387,12,64,64
193,0.7913302820626966,0.12662407951450114,20,136,161
273,0.21333292380723962,0.3790502351294327,4,158,89
105,0.456991728406163,0.28428583165183685,6,100,55
284,0.4559053850377466,0.4934149272513413,11,189,134
131,0.38204578301518394,0.4526450895234457,11,138,55
104,0.5718245207704297,0.43674561245161503,5,122,61
164,0.8964755698280281,0.19109243100432388,6,187,148
226,0.43628463176791615,0.1805960226114215,2,130,146
172,0.7472767132458046,0.2580341769337925,5,133,131
122,0.1124574782040469,0.053553802052777225,8,162,69
190,0.3366353736699988,0.17194318948125384,7,169,108
206,0.6627292794296825,0.3499987600697001,9,63,137
68,0.7607998073967994,0.2847952430277081,12,72,52
199,0.6182870995580589,0.010008511713789135,6,162,191
84,0.5154955370978203,0.01054723160910677,8,189,83
297,0.6879533909092279,0.4383277088119599,19,58,210
267,0.6603873048146313,0.017001600534389726,13,120,256
116,0.4592501619236076,0.1866063439611744,18,83,68
215,0.32159791562861617,0.07970896725973296,11,119,137
106,0.6695294363282533,0.4103193621635654,12,198,68
103,0.7976647949644753,0.10186156026180675,1,138,91
102,0.17926580239168188,0.13776625799561742,2,66,42
164,0.5330095130234157,0.24129216571225712,8,72,108
289,0.2752608915601534,0.11833414035046248,19,121,165
138,0.593419695841843,0.10000044452181575,1,168,111
62,0.33535924816711915,0.12727254004227503,18,167,42
62,0.44654534517909555,0.44206648484093686,8,153,33
277,0.6307581565793331,0.08738615350573742,10,199,217
176,0.8908822603974662,0.28810838665678545,6,112,156
266,0.46645228049757015,0.019029543098286444,19,83,242
297,0.5444321258268167,0.30523057610597804,8,161,191
128,0.8371577484679785,0.36847284837845345,15,157,106
285,0.4507911737076229,0.4116561522378878,4,139,145
270,0.2324842879447676,0.19970244722111197,2,98,122
246,0.6327360397710411,0.19736709056220889,8,103,185
287,0.8116490331662513,0.3027001071171539,9,82,230
84,0.582038570928826,0.22845270884034685,9,74,54
266,0.20524186601124483,0.35150957403879907,8,97,78
60,0.31254592910097306,0.19807225338823706,19,129,22
235,0.42637685896194866,0.07293034953387194,10,132,180
91,0.2858895527267123,0.10336328490821457,12,59,53
286,0.743958245466858,0.46904935715782703,7,140,215
257,0.7364447418637589,0.39324256537058533,17,165,197
77,0.7824062744446101,0.10743052964348565,9,143,64
103,0.3296658919351221,0.27743307539801887,5,67,54
88,0.07069656676700767,0.27834299645855487,1,177,16
251,0.6535638122950983,0.4015279940222412,11,88,167
228,0.6170919205499062,0.21486519660842543,3,121,164
97,0.5016182942104049,0.18393260801658007,9,181,68
251,0.14731599025653055,0.2742638814868384,10,150,72
290,0.23203730954420954,0.30685312574064705,2,193,104
170,0.09873322275648513,0.05388442776824076,3,76,87
187,0.49871297375689855,0.49425620128631936,19,52,97
117,0.5601030420160095,0.3023217662450483,1,193,75
200,0.06425029134803177,0.23770809219607786,7,151,41
202,0.1496891347904778,0.11197234672995944,13,92,90
53,0.09399897527838122,0.25211563656031827,15,195,18
247,0.5291281870109136,0.4005056437230499,12,81,158
129,0.08286498048933882,0.4440289937304968,9,116,17
249,0.2520083609096666,0.023454239397260344,10,50,203
190,0.450275591819883,0.22815837732205477,16,73,109
287,0.15670301619744356,0.07310341247609282,9,61,164
224,0.43246491217231386,0.25929911693221147,12,153,120
98,0.25882441026146713,0.25148349541529186,9,71,45
129,0.4922183778833392,0.323337186303349,20,190,82
151,0.34483829042519726,0.17487467622750055,18,154,90
187,0.08237934810600378,0.26771543082731175,6,53,46
220,0.3903914825036096,0.11370028060448702,15,192,144
219,0.08050312910803685,0.05815554435380636,18,196,96
217,0.676876527745702,0.3315529720386666,4,103,145
292,0.7003304782481198,0.1817339174765591,5,59,215
294,0.2682754053349206,0.21627700919188889,3,67,151
200,0.13427545492744558,0.2151377584438423,17,196,55
179,0.2797541747697418,0.17011127322457037,14,78,84
293,0.8250778576031176,0.4510169341703694,7,194,235
235,0.8168813893625546,0.4607807955380408,18,94,184
256,0.280913594610381,0.2675551868228117,20,80,114
150,0.47707156629352626,0.462067444781257,8,86,75
281,0.7412387426890702,0.19436826650177602,1,196,228
197,0.7321021452865859,0.29635142122057834,12,87,150
69,0.09903377555785023,0.3731309219344117,15,179,15
243,0.5566879048814294,0.12631393787200698,12,174,184
125,0.1096213986369253,0.02328986898848237,16,131,88
189,0.535512638768406,0.1373733030164124,7,132,136
269,0.7905493560930964,0.08451314547959263,17,170,241
230,0.7424279113894372,0.48814033246808425,8,117,165
232,0.8866154883070673,0.33313320174339833,18,184,212
105,0.8251631232651782,0.4354903209068558,6,101,91
179,0.5451387827222339,0.11676619175243666,11,72,136
270,0.24345103694076076,0.08366665827994767,8,196,177
110,0.4203976357426063,0.13500877699542918,10,92,73
56,0.6356990265212509,0.2655620944871143,4,56,44
154,0.7774062185388176,0.4246987486171053,6,104,113
152,0.33806117254218987,0.03525921949644997,9,72,122
132,0.05971326447851742,0.162086227074464,7,108,28
120,0.4775874392408714,0.13201340127313224,10,74,82
237,0.42029736180452965,0.315619618746888,6,131,130
158,0.1072637056540617,0.10768251072062743,12,70,63
253,0.2169852521289306,0.10000169878901737,18,59,146
236,0.07015937915731006,0.038220192987366765,10,63,109
300,0.06848506073950619,0.2923527991280358,2,64,48
258,0.8510120114876991,0.2527346800992673,16,130,224
162,0.8680919975315365,0.030563821933092795,6,167,156
295,0.3786746202377457,0.04246723666945561,17,58,240
257,0.7773687487948174,0.09419826955479023,12,189,229
134,0.3873061893364786,0.0721241532017874,11,163,103
210,0.7056477622785684,0.40305881484813966,6,137,157
280,0.6795738977276565,0.07119745242614652,8,106,234
103,0.6211364802915488,0.05395045757792452,11,148,87
145,0.5545888391456036,0.03275354158963216,16,50,128
212,0.36334979757412855,0.3611928513323896,14,145,89
68,0.17754982252596124,0.4051557072318419,9,124,16
99,0.7751329467355648,0.06425270480949308,13,70,90
189,0.2679458322629917,0.33750651449741786,17,122,79
257,0.7612366886164937,0.31745723799534936,4,160,185
71,0.821449339639875,0.335722965428556,20,83,51
105,0.15842612573053844,0.39795407942165184,5,68,30
251,0.09869133086788764,0.20511258343973826,13,184,72
166,0.4789010882912692,0.1345544926829418,3,70,114
266,0.29213413878311056,0.01365907656616,12,142,236
98,0.20854392959845897,0.19725975462283268,18,101,39
178,0.2628322247761542,0.19614554710723195,17,118,83
134,0.06873895637232846,0.23039354943264462,3,112,29
106,0.47724823286198625,0.3287734533860494,17,189,57
283,0.33359570296791613,0.2100838964093808,20,139,156
290,0.14346439107443137,0.2658647752451209,3,118,84
76,0.4357692726183966,0.0449821130010171,14,52,63
187,0.3364638992603566,0.02975052946135559,16,65,149
